UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
MG;MINDURI;2040;1095;0;109;14;202;52;0;2;17;416;48;13;0;34;24;0;0;0;0;0;14
MG;MIRABELA;7020;3032;0;508;68;761;150;0;13;48;1853;181;82;0;213;68;0;1;0;0;4;38
MG;MIRADOURO;5281;2406;0;145;77;414;74;0;32;16;1906;22;45;0;82;49;0;2;0;0;0;11
MG;MIRAI;7677;3568;0;263;20;629;135;0;35;21;2618;181;31;0;111;13;1;3;0;2;8;38
MG;MIRAVANIA;1035;322;0;34;1;115;16;0;1;3;499;5;22;0;16;0;0;0;0;0;0;1
MG;MOEDA;3609;1958;0;108;42;384;83;0;4;21;798;31;45;0;49;59;0;0;0;0;1;26
MG;MOEMA;6282;2874;0;218;22;623;115;0;18;27;1597;273;141;0;293;47;2;1;0;0;2;29
MG;MONJOLOS;280;115;0;12;0;33;2;0;0;2;107;1;8;0;0;0;0;0;0;0;0;0
MG;MONSENHOR PAULO;4630;2756;0;206;15;461;144;0;1;31;841;52;19;0;59;23;1;0;0;0;0;21
MG;MONTALVANIA;5702;1919;0;192;6;614;92;0;8;38;2383;140;150;0;133;5;0;0;0;0;7;15
MG;MONTE ALEGRE DE MINAS;13837;6541;0;822;183;1979;488;0;52;127;2189;538;110;0;522;219;2;1;0;2;3;59
MG;MONTE AZUL;12196;3350;0;173;3;913;117;0;48;25;6326;904;75;0;205;5;0;0;0;0;2;50
MG;MONTE BELO;9931;5442;0;379;31;920;168;0;14;51;2353;142;75;0;194;81;2;0;0;1;7;71
MG;MONTE CARMELO;40564;19804;0;1793;333;4233;876;0;89;165;8936;2020;266;0;1301;486;4;4;0;9;10;235
MG;MONTE FORMOSO;1428;474;0;30;1;114;19;0;1;27;664;27;59;0;6;4;0;0;0;0;2;0
MG;MONTE SANTO DE MINAS;16352;9301;0;584;187;1585;407;0;17;90;3246;352;134;0;167;176;4;2;0;4;5;91
MG;MONTE SIAO;19873;10121;0;417;28;2034;519;0;10;92;5031;984;58;0;265;28;1;4;0;1;9;271
MG;MONTES CLAROS;244121;102674;0;5376;853;19157;7015;0;525;520;81494;16041;1267;0;5328;1023;7;110;0;15;200;2516
MG;MONTEZUMA;2898;790;0;79;6;232;23;0;3;14;1538;125;50;0;30;4;0;2;0;1;1;0
MG;MORADA NOVA DE MINAS;4780;2283;0;237;38;611;98;0;73;29;883;113;55;0;273;42;0;0;0;0;10;35
MG;MORRO DA GARCA;873;414;0;39;6;95;22;0;1;9;235;6;27;0;13;5;0;0;0;0;0;1
